generator	profile_condition	scorer	n_completed	HEXACO6_r	Beyond10_r	Continuous16_r	SVO_angle_r	parse_hexaco_min	parse_beyond_min	parse_svo_min
GPT-4.1	interwoven_biography	GPT-5.4-Mini	290	0.733	0.578	0.636	0.263	1.000	1.000	1.000
GPT-4.1	interwoven_biography	Gemini 3 Flash	290	0.759	0.631	0.679	0.512	1.000	1.000	1.000
GPT-4.1	interwoven_biography	Gemma 4 31B IT	290	0.749	0.626	0.672	0.461	1.000	1.000	1.000
GPT-4.1	interwoven_biography	Qwen 3.6 Plus	290	0.762	0.622	0.675	0.485	1.000	1.000	1.000
GPT-4.1	interwoven_biography	Sonnet 4.6	290	0.782	0.624	0.683	0.431	1.000	1.000	1.000
Gemini 3 Flash	interwoven_biography	GPT-5.4-Mini	290	0.765	0.610	0.668	0.489	1.000	1.000	1.000
Gemini 3 Flash	interwoven_biography	Gemini 3 Flash	290	0.794	0.644	0.700	0.660	1.000	1.000	1.000
Gemini 3 Flash	interwoven_biography	Gemma 4 31B IT	290	0.792	0.630	0.691	0.660	0.967	0.255	0.000
Gemini 3 Flash	interwoven_biography	Qwen 3.6 Plus	290	0.792	0.637	0.695	0.579	1.000	1.000	1.000
Gemini 3 Flash	interwoven_biography	Sonnet 4.6	290	0.806	0.660	0.715	0.522	1.000	1.000	1.000
Gemma 4 31B IT	interwoven_biography	GPT-5.4-Mini	290	0.775	0.604	0.668	0.283	1.000	1.000	1.000
Gemma 4 31B IT	interwoven_biography	Gemini 3 Flash	290	0.793	0.642	0.699	0.624	1.000	1.000	1.000
Gemma 4 31B IT	interwoven_biography	Gemma 4 31B IT	290	0.785	0.623	0.684	0.655	1.000	1.000	1.000
Gemma 4 31B IT	interwoven_biography	Qwen 3.6 Plus	290	0.785	0.628	0.687	0.625	1.000	1.000	1.000
Gemma 4 31B IT	interwoven_biography	Sonnet 4.6	290	0.801	0.657	0.711	0.551	1.000	1.000	1.000
Qwen 3.6 27B	interwoven_biography	GPT-5.4-Mini	290	0.677	0.552	0.599	0.125	1.000	1.000	1.000
Qwen 3.6 27B	interwoven_biography	Gemini 3 Flash	290	0.715	0.572	0.625	0.540	1.000	1.000	1.000
Qwen 3.6 27B	interwoven_biography	Gemma 4 31B IT	290	0.715	0.560	0.618	0.580	1.000	1.000	1.000
Qwen 3.6 27B	interwoven_biography	Qwen 3.6 Plus	290	0.704	0.574	0.623	0.551	1.000	1.000	1.000
Qwen 3.6 27B	interwoven_biography	Sonnet 4.6	290	0.730	0.592	0.644	0.456	1.000	1.000	1.000
GPT-4.1	psychometric_only	GPT-5.4-Mini	290	0.771	0.594	0.660	0.320	1.000	1.000	1.000
GPT-4.1	psychometric_only	Gemini 3 Flash	290	0.790	0.637	0.695	0.581	1.000	1.000	1.000
GPT-4.1	psychometric_only	Gemma 4 31B IT	290	0.778	0.625	0.682	0.530	0.683	0.255	1.000
GPT-4.1	psychometric_only	Qwen 3.6 Plus	290	0.778	0.623	0.681	0.472	1.000	1.000	1.000
GPT-4.1	psychometric_only	Sonnet 4.6	290	0.806	0.634	0.698	0.484	1.000	1.000	1.000
Gemini 3 Flash	psychometric_only	GPT-5.4-Mini	290	0.799	0.622	0.688	0.482	1.000	1.000	1.000
Gemini 3 Flash	psychometric_only	Gemini 3 Flash	290	0.813	0.645	0.708	0.618	1.000	0.980	1.000
Gemini 3 Flash	psychometric_only	Gemma 4 31B IT	290	0.809	0.633	0.699	0.692	0.400	0.451	0.000
Gemini 3 Flash	psychometric_only	Qwen 3.6 Plus	290	0.810	0.641	0.704	0.621	1.000	1.000	1.000
Gemini 3 Flash	psychometric_only	Sonnet 4.6	290	0.819	0.666	0.724	0.562	1.000	1.000	1.000
Gemma 4 31B IT	psychometric_only	GPT-5.4-Mini	290	0.790	0.608	0.676	0.382	1.000	1.000	1.000
Gemma 4 31B IT	psychometric_only	Gemini 3 Flash	290	0.808	0.637	0.701	0.664	1.000	1.000	1.000
Gemma 4 31B IT	psychometric_only	Gemma 4 31B IT	290	0.801	0.618	0.687	0.669	1.000	1.000	1.000
Gemma 4 31B IT	psychometric_only	Qwen 3.6 Plus	290	0.808	0.629	0.696	0.638	1.000	1.000	1.000
Gemma 4 31B IT	psychometric_only	Sonnet 4.6	290	0.817	0.656	0.716	0.562	1.000	1.000	1.000
Qwen 3.6 27B	psychometric_only	GPT-5.4-Mini	290	0.730	0.584	0.639	0.252	1.000	1.000	1.000
Qwen 3.6 27B	psychometric_only	Gemini 3 Flash	290	0.749	0.581	0.644	0.627	1.000	1.000	1.000
Qwen 3.6 27B	psychometric_only	Gemma 4 31B IT	290	0.751	0.564	0.634	0.602	1.000	1.000	1.000
Qwen 3.6 27B	psychometric_only	Qwen 3.6 Plus	290	0.747	0.588	0.648	0.570	1.000	1.000	1.000
Qwen 3.6 27B	psychometric_only	Sonnet 4.6	290	0.769	0.591	0.657	0.380	1.000	1.000	1.000
